"ID","Binomial","Replicate","Excluded_LPR_2022","Citation","Class","Order","Family","Genus","Species","Subspecies","Authority","Common_name","Location","Country","All_countries","Region","IPBES_region","IPBES_subregion","Latitude","Longitude","Specific_location","System","T_realm","T_biome","FW_realm","FW_biome","M_realm","M_ocean","M_biome","Migratory_fw_fish","Units","Method"
858,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Stellako River, BC","Canada","Canada","North America","Americas","North America",54.03,-124.53,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Number of fish","SR"
859,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Weaver Creek, BC","Canada","Canada","North America","Americas","North America",49.19,-121.53,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Individual fish","SR"
861,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Black Lake, Alaska","United States","United States","North America","Americas","North America",56.29,-159,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Millions of fish","SR"
862,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Egegik River, Alaska","United States","United States","North America","Americas","North America",58.11,-157.24,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
863,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Igushik River, Alaska","United States","United States","North America","Americas","North America",58.4,-158.5,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
866,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Kvichak River, Alaska","United States","United States","North America","Americas","North America",58.52,-157.03,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
868,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Naknek, Alaska","United States","United States","North America","Americas","North America",58.4,-157,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
869,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Red River, Alaska","United States","United States","North America","Americas","North America",57.16,-154.37,1,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,1,"Thousands of fish","SR"
870,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Ugashik River, Alaska","United States","United States","North America","Americas","North America",57.3,-157.37,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
871,"Oncorhynchus_nerka",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","nerka",NA,"(Walbaum 1792)","Sockeye salmon / Red salmon","Wood River, Alaska","United States","United States","North America","Americas","North America",59.03,-158.3,1,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,1,"Thousands of fish","SR"
885,"Salvelinus_namaycush",0,0," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","namaycush",NA,"(Walbaum 1792)","Lake trout","Michigan Waters of Lake Superior","United States","United States","North America","Americas","North America",47.26472,-87.17472,0,"Freshwater",NA,NA,"Nearctic","Large lakes",NA,NA,NA,0,"Abundance index (percentage of the 1929-1943 mean)","Assessment gillnet fishing"
886,"Salvelinus_namaycush",0,0," Hansen, M. J., J. W. Peck, et al. (1995). ""Lake trout (Salvelinus namaycush) populations in Lake Superior and restoration in 1959-1993."" Journal of Great Lakes Research 21(Supplement 1): 152-175.","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","namaycush",NA,"(Walbaum 1792)","Lake trout","Wisconsin Waters of Lake Superior","United States","United States","North America","Americas","North America",47.15417,-90.5,0,"Freshwater",NA,NA,"Nearctic","Large lakes",NA,NA,NA,0,"Abundance index (percentage of the 1929-1943 mean)","Assessment gillnet fishing"
992,"Anas_acuta",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Anas","acuta",NA,"Linnaeus, 1758","Northern pintail","North America","Canada","Canada, United States","North America","Americas","North America",47.12944,-108.44556,0,"Freshwater",NA,NA,"Nearctic","Polar freshwaters",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
995,"Mareca_americana",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Mareca","americana",NA,"(Gmelin, 1789)","American wigeon","North America","United States","United States, Canada","North America","Americas","North America",48.99722,-97.22917,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
999,"Spatula_clypeata",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Spatula","clypeata","","(Linnaeus, 1758)","Northern shoveler","North America","Canada","Canada, United States","North America","Americas","North America",47.12944,-108.44556,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1001,"Anas_crecca",1,0,"Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Anas","crecca","","Linnaeus, 1758","Common teal","North America","Canada","Canada, United States","North America","Americas","North America",56.72194,-109.94056,0,"Freshwater",NA,NA,"Nearctic","Temperate coastal rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1007,"Spatula_discors",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Spatula","discors",NA,"(Linnaeus, 1766)","Blue-winged teal","North America","Canada","Canada, United States","North America","Americas","North America",49.015,-106.91889,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1014,"Anas_platyrhynchos",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Anas","platyrhynchos",NA,"Linnaeus, 1758","Mallard","North America","Canada","Canada, United States","North America","Americas","North America",49.015,-106.91889,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1019,"Mareca_strepera",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Mareca","strepera",NA,"(Linnaeus, 1758)","Gadwall","North America","United States","United States, Canada","North America","Americas","North America",47.12944,-108.44556,0,"Freshwater",NA,NA,"Nearctic","Large lakes",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1024,"Aythya_americana",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Aythya","americana",NA,"(Eyton, 1838)","Redhead","North America","Canada","Canada, United States","North America","Americas","North America",49.015,-106.91889,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1029,"Aythya_valisineria",1,0," Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.","Aves","Anseriformes","Anatidae","Aythya","valisineria",NA,"(Wilson, 1814)","Canvasback","North America","United States","United States, Canada","North America","Americas","North America",49.015,-106.91889,0,"Freshwater",NA,NA,"Nearctic","Temperate upland rivers",NA,NA,NA,0,"Population index","Annual population estimate adjusted for biases"
1379,"Brevoortia_tyrannus",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus",NA,"(Latrobe 1802)","Atlantic menhaden","US Atlantic","United States","United States","North America",NA,NA,35.36056,-74.76167,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Tonnes of Females","SPA"
1388,"Brevoortia_tyrannus",0,0,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus","harengus","(Latrobe 1802)","Atlantic menhaden","Celtic Sea and Division VIIj herring","United Kingdom","United Kingdom, Ireland","Europe",NA,NA,50,-9,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (Tonnes)","Catch data and acoustic survey"
1396,"Brevoortia_tyrannus",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus","harengus","(Latrobe 1802)","Atlantic menhaden","Iceland summer spawners","Iceland","Iceland","Europe",NA,NA,63,-21,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (Tonnes)","SPA"
1400,"Brevoortia_tyrannus",0,0,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus","harengus","(Latrobe 1802)","Atlantic menhaden","in Subarea IV, Divisions III a and VII d (autumn spawners)","United Kingdom","United Kingdom, Norway, Denmark, France, Netherlands","Europe",NA,NA,55.04417,4.87639,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Sea and Baltic Sea","Unknown",0,"spawning stock biomass Tonnes","Projections from landings and surveys"
1406,"Brevoortia_tyrannus",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus","harengus","(Latrobe 1802)","Atlantic menhaden","Norway (spring spawners)","Norway","Norway","Europe",NA,NA,65,8,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (Tonnes)","SPA"
1407,"Brevoortia_tyrannus",0,0,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010.","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","tyrannus","harengus","(Latrobe 1802)","Atlantic menhaden","Norwegian spring spawning","Norway","Norway","Europe",NA,NA,59.33333,3.61667,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"spawning stock biomass (Tonnes)","Estimate based on catch data and 8 surveys"
1409,"Clupea_pallasii",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","Southern Strait of Georgia","Canada","Canada","North America",NA,NA,49.17,-123.48,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Spawning stock biomass (Tonnes)","SPA"
1420,"Gadus_morhua",1,0," DFO (2000). Cod in the southern Gulf of St. Lawrence. DFO Sci. Stock Status Rep. A3-01 (2000).","Actinopteri","Gadiformes","Gadidae","Gadus","morhua",NA,"Linnaeus 1758","Atlantic cod / Cod","Southern Gulf of St Lawrence (A3-01)","Canada","Canada","North America",NA,NA,47.17639,-62.77528,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning Biomass (000 t)","Based on landings, RV and sentinel survey and catch rate data"
1436,"Gadus_morhua",1,0,"RAM Legacy RAM Legacy Stock Assessment Data Base version 3.0.","Actinopteri","Gadiformes","Gadidae","Gadus","morhua",NA,"Linnaeus 1758","Atlantic cod / Cod","NAFO 4TVn","Canada","Canada","North America",NA,NA,47.3,-63.3,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (Thousand tonnes)","SPA"
1437,"Gadus_morhua",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.| DFO (2009). Status of Atlantic Cod (Gadus morhua) in 2008. Research Document 2009/027. C. S. A. Secretariat, Fisheries and Oceans Canada. 2009/027: 1-167.","Actinopteri","Gadiformes","Gadidae","Gadus","morhua",NA,"Linnaeus 1758","Atlantic cod / Cod","NAFO 4VsW","Canada","Canada","North America",NA,NA,44,-59,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (tonnes)","SPA"
1438,"Gadus_morhua",1,0,"Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Gadiformes","Gadidae","Gadus","morhua","","Linnaeus 1758","Atlantic cod / Cod","NAFO 4X","Canada","Canada","North America",NA,NA,43,-65.3,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (Thousand tonnes)","SPA"
1467,"Lutjanus_campechanus",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Perciformes","Lutjanidae","Lutjanus","campechanus",NA,"(Poey 1860)","Northern red snapper","US waters of Gulf of Mexico","United States","United States","North America",NA,NA,28,-90.42,0,"Marine",NA,NA,NA,NA,"Atlantic tropical and subtropical","Caribbean Sea and Gulf of Mexico","Unknown",0,"Spawning stock biomass (Thousand billion eggs)","SPA and RV"
1485,"Melanogrammus_aeglefinus",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Gadiformes","Gadidae","Melanogrammus","aeglefinus","","(Linnaeus 1758)","Haddock","NAFO 5Z","United States","United States","North America",NA,NA,41,-67,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"Spawning stock biomass (tonnes)","SPA"
1487,"Melanogrammus_aeglefinus",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Gadiformes","Gadidae","Melanogrammus","aeglefinus",NA,"(Linnaeus 1758)","Haddock","North Sea","United Kingdom","United Kingdom, Norway, Denmark, Germany, Netherlands","Europe",NA,NA,55,4,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Sea and Baltic Sea","Unknown",0,"Spawning stock biomass (Thousand tonnes)","SPA and CPUE"
1526,"Pollachius_virens",0,0,"International Council for the Exploration of the Sea, ICES advice on fish stocks, 2006 - 2010.","Actinopteri","Gadiformes","Gadidae","Pollachius","virens",NA,"(Linnaeus 1758)","Saithe","ICES division Va, Iceland","Iceland","Iceland","Europe",NA,NA,66.52417,-19.38972,0,"Marine",NA,NA,NA,NA,"Arctic","Arctic Ocean","Unknown",0,"SSB / tonnes","Based on age-disaggregated landings and survey indices"
1533,"Scophthalmus_maximus",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus","maximus","maeotica","(Linnaeus 1758)","Turbot","Black Sea","Ukraine","Ukraine, Russian Federation, Romania, Bulgaria, Turkey","Asia",NA,NA,43.3,35,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","Mediterranean Sea and Black Sea","Unknown",0,"Spawning stock biomass (Thousand tonnes)","SPA"
1553,"Solea_solea",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Pleuronectiformes","Soleidae","Solea","solea",NA,"(Linnaeus 1758)","Common sole","ICES Division VIIe (Western Channel)","United Kingdom","United Kingdom, France","Europe",NA,NA,49.5925,-3.47694,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Atlantic Ocean","Unknown",0,"SSB  (tonnes)","Based on landings, 1 survey and 4 commercial  CPUE series"
1562,"Sprattus_sprattus",0,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Sprattus","sprattus",NA,"(Linnaeus 1758)","European sprat","Black Sea","Turkey","Turkey, Ukraine, Russian Federation, Bulgaria, Romania","Asia",NA,NA,44,31,0,"Marine",NA,NA,NA,NA,"Atlantic north temperate","Mediterranean Sea and Black Sea","Unknown",0,"Spawning stock biomass (Thousand tonnes)","SPA"
1564,"Thunnus_obesus",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Scombriformes","Scombridae","Thunnus","obesus","","(Lowe 1839)","Bigeye tuna","East Pacific","International Waters","International Waters","International Waters",NA,NA,-10,-125,0,"Marine",NA,NA,NA,NA,"Tropical and subtropical Indo-Pacific","South Pacific Ocean","Unknown",0,"Spawning stock biomass (tonnes of females)","SPA, age-structures, catch-at-length analysis"
1567,"Thunnus_thynnus",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Scombriformes","Scombridae","Thunnus","thynnus","","(Linnaeus 1758)","Atlantic bluefin tuna / Northern bluefin tuna","West Atlantic","United States","United States, Cuba, Bahamas, Turks And Caicos Islands","North America",NA,NA,20,-74,0,"Marine",NA,NA,NA,NA,"Atlantic tropical and subtropical","Caribbean Sea and Gulf of Mexico","Unknown",0,"Spawning stock biomass (tonnes)","SPA"
1581,"Xiphias_gladius",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Istiophoriformes","Xiphiidae","Xiphias","gladius",NA,"Linnaeus 1758","Swordfish","North Atlantic","International Waters","International Waters, Canada, United States, Ireland, United Kingdom","International Waters",NA,NA,36,-40.5,0,"Marine",NA,NA,NA,NA,"Atlantic tropical and subtropical","North Atlantic Ocean","Unknown",0,"TB-MT","SPA"
1933,"Vanellus_vanellus",1,0," Thorup, O. (1998). ""Ynglefuglene pa Tipperne 1928-1992."" Dansk Ornitologisk Forenings Tidsskrift 92: 1-192.","Aves","Charadriiformes","Charadriidae","Vanellus","vanellus",NA,"(Linnaeus, 1758)","Northern lapwing","Tipperne","Denmark","Denmark","Europe","Europe and Central Asia","Central and Western Europe",55.88333,8.23333,0,"Terrestrial","Palearctic","Temperate broadleaf and mixed forests",NA,NA,NA,NA,NA,0,"estimated breeding pairs (from graphic)","census"
1965,"Halichoerus_grypus",1,0," Duck, C. (2002). Annex II - Pup Production in the British Grey Seal Population. UK Special Committee on Seals, Scientific Advice on Matters Related to the Management of Seal Populations.","Mammalia","Carnivora","Phocidae","Halichoerus","grypus",NA,"(Fabricius, 1791)","Grey seal","Farne Islands","United Kingdom","United Kingdom","Europe",NA,NA,55.63306,1.61694,1,"Marine",NA,NA,NA,NA,"Atlantic north temperate","North Sea and Baltic Sea","Unknown",0,"Pup production estimates.","Counts from aerial survey photographs"
2041,"Anoplopoma_fimbria",0,0,"RAM Legacy Stock Assessment Database (2021) ‘RAM Legacy Stock Assessment Database v4.495’. Zenodo. Available at: https://doi.org/10.5281/zenodo.4824192.","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma","fimbria",NA,"(Pallas 1814)","Sablefish","West Coast of USA","United States","United States","North America",NA,NA,46,-124.58333,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Female spawning stock biomass / tonnes","SPA"
2044,"Clupea_pallasii",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","Central coast, British Columbia","Canada","Canada","North America",NA,NA,52.5,-128.5,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Spawning stock biomass / million tonnes","SPA"
2047,"Clupea_pallasii",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","North Western coast of Vancouver Island","Canada","Canada","North America",NA,NA,49.5,-126.75,1,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Spawning stock biomass / million tonnes","SPA"
2048,"Clupea_pallasii",1,0,"Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","Northern Strait of Georgia","Canada","Canada","North America",NA,NA,49.5,-124,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Spawning stock biomass / million tonnes","SPA"
2049,"Clupea_pallasii",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","Prince Rupert District","Canada","Canada","North America",NA,NA,54.5,-130.25,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Tonnes/millions","SPA"
2051,"Clupea_pallasii",1,0," Myers, R. Ransom Myers' Stock Recruitment Database.","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii","pallasii","Valenciennes 1847","Pacific herring","Queen Charlotte Islands","Canada","Canada","North America",NA,NA,52.5,-131.5,0,"Marine",NA,NA,NA,NA,"Pacific north temperate","North Pacific Ocean","Unknown",0,"Spawning stock biomass / million tonnes","SPA"
