"Id","Loc","Name","DataSource_ID","Plot_ID","Stratum","InvertebrateGroup","DataSourceName","Reference","OpenAccessLicense","SamplingInterval","mo_timestep","ndatapoints","propmissing","longestrun","monotonic","Mass_g","MinAge_mo","Location","NationState","Longitude","Latitude","data_rescale_case"
"1526_1841_Air","Lee","Mosquitos",1526,1841,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,130,0,48,-0.00336764710145111,0.003,NA,"Lee","USA",-81.775,26.3348,1
"1526_1842_Air","Lee","Mosquitos",1526,1842,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,130,0,48,-0.159949309155475,0.003,NA,"Lee","USA",-81.7812,26.4613,1
"1526_1843_Air","Lee","Mosquitos",1526,1843,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,130,0,48,-0.122878051912372,0.003,NA,"Lee","USA",-81.8963,26.4805,1
"1526_1844_Air","Lee","Mosquitos",1526,1844,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,127,0,48,-0.0921452717563137,0.003,NA,"Lee","USA",-81.8622,26.4808,1
"1526_1845_Air","Lee","Mosquitos",1526,1845,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,114,0,47,0.025086724165977,0.003,NA,"Lee","USA",-82.1672,26.4846,1
"1526_1846_Air","Lee","Mosquitos",1526,1846,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,130,0,48,0.10860872891164,0.003,NA,"Lee","USA",-81.9349,26.4876,1
"1526_1847_Air","Lee","Mosquitos",1526,1847,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,108,0,47,-0.0211306518310753,0.003,NA,"Lee","USA",-81.891,26.5197,1
"1526_1848_Air","Lee","Mosquitos",1526,1848,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,126,0,48,-0.0954990626171729,0.003,NA,"Lee","USA",-81.9783,26.5377,1
"1526_1849_Air","Lee","Mosquitos",1526,1849,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,129,0,48,-0.186266425589549,0.003,NA,"Lee","USA",-81.8974,26.541,1
"1526_1850_Air","Lee","Mosquitos",1526,1850,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,130,0,48,-0.187140141963035,0.003,NA,"Lee","USA",-81.854,26.5486,1
"1526_1852_Air","Lee","Mosquitos",1526,1852,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,128,0,48,0.0753191349406279,0.003,NA,"Lee","USA",-81.6029,26.6111,1
"1526_1853_Air","Lee","Mosquitos",1526,1853,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,129,0,48,0.0127517969796326,0.003,NA,"Lee","USA",-81.8123,26.615,1
"1526_1855_Air","Lee","Mosquitos",1526,1855,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,128,0,48,0.0532014884069902,0.003,NA,"Lee","USA",-81.8441,26.6533,1
"1526_1856_Air","Lee","Mosquitos",1526,1856,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,128,0,48,-0.00947647619482945,0.003,NA,"Lee","USA",-81.8662,26.675,1
"1526_1857_Air","Lee","Mosquitos",1526,1857,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,128,0,48,0.00348494364148355,0.003,NA,"Lee","USA",-81.8914,26.6784,1
"1526_1858_Air","Lee","Mosquitos",1526,1858,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,125,0,48,-0.0809902425897417,0.003,NA,"Lee","USA",-81.816,26.6811,1
"1526_1859_Air","Lee","Mosquitos",1526,1859,"Air","Mosquitos","Florida mosquitos","(Giraldo-Calderón et al. 2015)","CC-BY","monthly",1,128,0,48,-0.014326180258449,0.003,NA,"Lee","USA",-81.7692,26.7208,1
