"Id","Loc","Name","MainID","TaxonID","DataSourceID","BiotopeID","LocationID","TaxonName","CommonName","Reliability","SamplingInterval","mo_timestep","ndatapoints","longestrun","propmissing","propzeros","monotonic","Mass_g","MinAge_mo","TaxonomicClass3","ExactName","Country","LongDD","LatDD","data_rescale_case"
"GPDD_6807","Hinkley Point","Bass",6807,101,14,13,83,"Dicentrarchus labrax","Bass",5,"monthly",1,197,197,0,0.390862944162437,0.228802255386661,7500,40,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6820","Hinkley Point","Dab",6820,105,14,13,83,"Limanda limanda","Dab",5,"monthly",1,197,197,0,0.563451776649746,0.0448697543286886,750,60,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6821","Hinkley Point","Common sea snail",6821,106,14,13,83,"Liparis liparis","Common sea snail",5,"monthly",1,197,197,0,0.573604060913706,0.080920775735016,200,36,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6822","Hinkley Point","Thinlipped grey mullet",6822,107,14,13,83,"Liza ramada","Thinlipped grey mullet",5,"monthly",1,197,197,0,0.568527918781726,0.0412914130454063,1200,48,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6825","Hinkley Point","Whiting",6825,108,14,13,83,"Merlangius merlangus","Whiting",5,"monthly",1,197,197,0,0.065989847715736,0.269591317970069,500,36,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6832","Hinkley Point","Flounder",6832,110,14,13,83,"Platichthys flesus","Flounder",5,"monthly",1,197,197,0,0.223350253807107,0.177410392024335,750,36,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6837","Hinkley Point","Sand goby",6837,113,14,13,83,"Pomatoschistus minutus","Sand goby",5,"monthly",1,197,197,0,0.147208121827411,0.0680988874072238,40,10,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6848","Hinkley Point","Sole",6848,11103,14,13,83,"Solea solea","Sole",5,"monthly",1,197,197,0,0.177664974619289,0.263810414720117,300,22,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6851","Hinkley Point","Sprat",6851,116,14,13,83,"Sprattus sprattus","Sprat",5,"monthly",1,197,197,0,0.157360406091371,0.0939394609780043,15,14,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6859","Hinkley Point","Pout",6859,118,14,13,83,"Trisopterus luscus","Pout",5,"monthly",1,197,197,0,0.314720812182741,0.109123951473946,400,14,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_6860","Hinkley Point","Poor-cod",6860,119,14,13,83,"Trisopterus minutus","Poor-cod",5,"monthly",1,197,197,0,0.223350253807107,0.180061271705805,100,48,"Bony fishes","Hinkley Point","UK - England",-4.05,51.25,2
"GPDD_7065","Waite Institute Garden, University of Ad","Apple blossom thrip",7065,11323,477,297,10615,"Thrips imaginis","Apple blossom thrip",4,"monthly",1,81,81,0,0,0.042471500393907,1e-04,0.5,"Insects","Waite Institute Garden, University of Adelaide","Australia",138.583333333333,-34.5,1
"GPDD_9953","Iceland","Rock ptarmigan",9953,734,626,12,10057,"Lagopus mutus","Rock ptarmigan",3,"annual",12,68,51,0.105263157894737,0.0147058823529412,0.535467820346963,422,10,"Birds","Iceland","Iceland",-18,65,2
"GPDD_9955","Brooks Island, San Francisco Bay","California vole",9955,11093,597,361,10804,"Microtus californicus","California vole",3,"monthly",1,54,54,0,0,0.470624825346494,56,2,"Mammals","Brooks Island, San Francisco Bay","USA",-122.333333333333,37.9166666666667,1
"GPDD_9191","Cothill","Scarlet tiger moth",9191,11356,501,312,10649,"Panaxia dominula-dominula","Scarlet tiger moth",4,"annual",12,41,40,0.18,0,0.331024870735182,0.3,8,"Insects","Cothill","UK - England",-1.31666666666667,51.75,1
"GPDD_9192","Cothill","Scarlet tiger moth",9192,11357,501,312,10649,"Panaxia dominula-medionigra","Scarlet tiger moth",4,"annual",12,41,40,0.18,0.0975609756097561,0.632359895771208,0.3,8,"Insects","Cothill","UK - England",-1.31666666666667,51.75,2
"GPDD_9391","Bialowieza Primeval Forest (Exploited fo","Grey wolf or Timber wolf",9391,89,553,348,10729,"Canis lupus","Grey wolf or Timber wolf",4,"annual",12,48,48,0,0.166666666666667,0.270204012464062,45000,24,"Mammals","Bialowieza Primeval Forest (Exploited forests in the Polish part)","Poland",24,52.75,2
"GPDD_9393","Bialowieza Primaeval Forest (Belarussian","Grey wolf or Timber wolf",9393,89,553,348,10731,"Canis lupus","Grey wolf or Timber wolf",4,"annual",12,48,48,0,0.104166666666667,0.00875381925242891,45000,24,"Mammals","Bialowieza Primaeval Forest (Belarussian part)","Belarus",24,52.75,2
"GPDD_9404","Finland","Eurasian lynx",9404,11931,558,81,10688,"Lynx lynx","Eurasian lynx",2,"annual",12,67,65,0.0147058823529411,0.134328358208955,0.73228102886958,20000,20,"Mammals","Finland","Finland",27,64,2
"GPDD_9489","Saskatchewan","North American mink",9489,78,565,12,29,"Mustela vison","North American mink",2,"annual",12,44,44,0,0,0.350105708245243,1000,12,"Mammals","Saskatchewan","Canada",-104,55,1
"GPDD_9491","Saskatchewan","Muskrat",9491,79,565,12,29,"Ondatra zibethicus","Muskrat",2,"annual",12,44,44,0,0,0.15123326286117,1000,12,"Mammals","Saskatchewan","Canada",-104,55,1
"GPDD_9495","Saskatchewan","Fox",9495,405,565,12,29,"Vulpes ","Fox",2,"annual",12,44,44,0,0,0.376321353065539,5200,12,"Mammals","Saskatchewan","Canada",-104,55,1
"GPDD_9500","Saskatchewan","Coyote or  Prarie wolf",9500,59,565,12,29,"Canis latrans","Coyote or  Prarie wolf",2,"annual",12,44,44,0,0,0.53276955602537,15000,12,"Mammals","Saskatchewan","Canada",-104,55,1
"GPDD_9517","Unknown","Seed beetle, Pulse beetle or Adzuki bean beetle",9517,11946,566,81,10784,"Callosobruchus chinensis","Seed beetle, Pulse beetle or Adzuki bean beetle",4,"annual",12,68,68,0,0,0.0725131466292085,0.0025,0.5,"Insects","Unknown","Unknown",NA,NA,1
"GPDD_9518","Unknown","Parasitoid wasp",9518,11947,566,81,10784,"Neocatolaccus mamezophagus","Parasitoid wasp",4,"annual",12,68,68,0,0,0.139375083735208,5e-04,0.4,"Insects","Unknown","Unknown",NA,NA,1
"GPDD_9519","Unknown","Braconid wasp",9519,11948,566,81,10784,"Heterospilus prosopidis","Braconid wasp",4,"annual",12,67,67,0,0,0.150386143511669,8e-04,1.8,"Insects","Unknown","Unknown",NA,NA,1
"GPDD_9586","Wytham Wood","Pine-tree lappet",9586,46,26,47,8,"Dendrolimus pini","Pine-tree lappet",4,"annual",12,60,60,0,0,0.202214859532595,0.6291,8,"Insects","Wytham Wood","UK - England",-1.33333333333333,51.7,1
"GPDD_9598","Unknown","Hawkmoth",9598,398,26,47,10784,"Unknown Insect sp296","Hawkmoth",3,"annual",12,50,50,0,0,0.393247603890319,NA,NA,"Insects","Unknown","Unknown",NA,NA,1
"GPDD_9612","De Hoge Veluwe National Park","Pine beauty",9612,44,26,47,343,"Panolis flammea","Pine beauty",3,"annual",12,60,60,0,0,0.100663451459192,0.1452,8,"Insects","De Hoge Veluwe National Park","Netherlands",5.83333333333333,52.1666666666667,1
"GPDD_9688","Letzlingen","Pine beauty",9688,44,26,355,119,"Panolis flammea","Pine beauty",3,"annual",12,60,60,0,0,0.110777195894421,0.1452,8,"Insects","Letzlingen","Germany",11.5,52.45,1
"GPDD_9690","Letzlingen","Pine-tree lappet",9690,46,26,355,119,"Dendrolimus pini","Pine-tree lappet",3,"annual",12,59,42,0.0166666666666667,0,0.220788260548043,0.6291,8,"Insects","Letzlingen","Germany",11.5,52.45,1
"GPDD_9791","Great Wood, Wytham Woods","Wood mouse",9791,50,598,318,10511,"Apodemus sylvaticus","Wood mouse",3,"seasonal",6,40,40,0,0,0.0350119744145891,23,2,"Mammals","Great Wood, Wytham Woods","UK - England",-1.33333333333333,51.7,1
"GPDD_9792","Great Wood, Wytham Woods","Bank vole",9792,51,598,318,10511,"Clethrionomys glareolus","Bank vole",3,"seasonal",6,40,40,0,0,0.220116348405459,22,4,"Mammals","Great Wood, Wytham Woods","UK - England",-1.33333333333333,51.7,1
"GPDD_9793","Rooipoort, Kimberley","Namaqua sandgrouse",9793,12055,599,362,10805,"Pterocles namaqua","Namaqua sandgrouse",3,"annual",12,77,43,0.104651162790698,0.103896103896104,0.295892516741621,177,12,"Birds","Rooipoort, Kimberley","South Africa",24.0833333333333,-28.75,3
"GPDD_9833","East Anglia","Nutria or Coypu",9833,81,605,367,10820,"Myocastor coypus","Nutria or Coypu",4,"monthly",1,120,120,0,0,0.651094155043044,8000,8,"Mammals","East Anglia","UK - England",1,52.5,1
"GPDD_9834","East Anglia","Nutria or Coypu",9834,81,605,367,10820,"Myocastor coypus","Nutria or Coypu",4,"monthly",1,120,120,0,0,0.582165049309445,8000,8,"Mammals","East Anglia","UK - England",1,52.5,1
"GPDD_9917","Pallasjarvi, Finnish Lapland","Field vole",9917,390,614,81,10824,"Microtus agrestis","Field vole",3,"seasonal",6,48,48,0,0,0.0629355826098327,27,1,"Mammals","Pallasjarvi, Finnish Lapland","Finland",24,68,1
"GPDD_9918","Pallasjarvi, Finnish Lapland","Root vole",9918,391,614,81,10824,"Microtus oeconomus","Root vole",3,"seasonal",6,48,48,0,0,0.0742241193439859,32,1,"Mammals","Pallasjarvi, Finnish Lapland","Finland",24,68,1
"GPDD_9919","Pallasjarvi, Finnish Lapland","Northern red-backed vole",9919,392,614,81,10824,"Clethrionomys rutilus","Northern red-backed vole",3,"seasonal",6,46,46,0,0,0.235330553916349,23,4,"Mammals","Pallasjarvi, Finnish Lapland","Finland",24,68,1
"GPDD_9920","Pallasjarvi, Finnish Lapland","Grey-sided vole, red-grey vole",9920,393,614,81,10824,"Clethrionomys rufocanus","Grey-sided vole, red-grey vole",3,"seasonal",6,46,46,0,0,0.0277488066075478,39,4,"Mammals","Pallasjarvi, Finnish Lapland","Finland",24,68,1
"GPDD_9921","Pallasjarvi, Finnish Lapland","Bank vole",9921,51,614,81,10824,"Clethrionomys glareolus","Bank vole",3,"seasonal",6,46,46,0,0,0.333890201144207,22,4,"Mammals","Pallasjarvi, Finnish Lapland","Finland",24,68,1
